"type"	"occupation"	"w_number_of_workers"	"w_median_weekly_earnings"	"m_number_of_workers"	"m_median_weekly_earnings"	"t_number_of_workers"	"t_median_weekly_earnings"	"is_pay_gap"	"cents_on_the_dollar"	"pay_gap_weekly"	"pay_gap_yearly"	"year"
"Natural resources, construction, and maintenance"	"Solar photovoltaic installers"	0		2		2						2011
"Natural resources, construction, and maintenance"	"Helpers, construction trades"	3		47		50	469					2011
"Natural resources, construction, and maintenance"	"Construction and building inspectors"	2		52	919	54	906					2011
"Natural resources, construction, and maintenance"	"Elevator installers and repairers"	0		30		30						2011
"Natural resources, construction, and maintenance"	"Fence erectors"	0		32		32						2011
"Natural resources, construction, and maintenance"	"Hazardous materials removal workers"	1		24		25						2011
"Natural resources, construction, and maintenance"	"Highway maintenance workers"	2		94	711	96	708					2011
"Natural resources, construction, and maintenance"	"Rail-track laying and maintenance equipment operators"	0		8		8						2011
"Natural resources, construction, and maintenance"	"Septic tank servicers and sewer pipe cleaners"	0		9		9						2011
"Natural resources, construction, and maintenance"	"Miscellaneous construction and related workers"	0		28		28						2011
"Natural resources, construction, and maintenance"	"Derrick, rotary drill, and service unit operators, oil, gas, and mining"	0		42		42						2011
"Natural resources, construction, and maintenance"	"Earth drillers, except oil and gas"	0		17		17						2011
"Natural resources, construction, and maintenance"	"Explosives workers, ordnance handling experts, and blasters"	0		10		10						2011
"Natural resources, construction, and maintenance"	"Mining machine operators"	1		69	1010	70	1022					2011
"Natural resources, construction, and maintenance"	"Roof bolters, mining"	0		12		12						2011
"Natural resources, construction, and maintenance"	"Roustabouts, oil and gas"	1		17		18						2011
"Natural resources, construction, and maintenance"	"Helpers--extraction workers"	0		8		8						2011
"Natural resources, construction, and maintenance"	"Other extraction workers"	0		49		49						2011
"Natural resources, construction, and maintenance"	"First-line supervisors of mechanics, installers, and repairers"	21		306	936	327	947					2011
"Natural resources, construction, and maintenance"	"Computer, automated teller, and office machine repairers"	22		215	812	237	811					2011
"Natural resources, construction, and maintenance"	"Radio and telecommunications equipment installers and repairers"	12		127	883	139	898					2011
"Natural resources, construction, and maintenance"	"Avionics technicians"	2		15		16						2011
"Natural resources, construction, and maintenance"	"Electric motor, power tool, and related repairers"	0		25		26						2011
"Natural resources, construction, and maintenance"	"Electrical and electronics installers and repairers, transportation equipment"	0		7		7						2011
"Natural resources, construction, and maintenance"	"Electrical and electronics repairers, industrial and utility"	1		14		15						2011
"Natural resources, construction, and maintenance"	"Electronic equipment installers and repairers, motor vehicles"	0		14		14						2011
"Natural resources, construction, and maintenance"	"Electronic home entertainment equipment installers and repairers"	2		30		32						2011
"Natural resources, construction, and maintenance"	"Security and fire alarm systems installers"	0		44		44						2011
"Natural resources, construction, and maintenance"	"Aircraft mechanics and service technicians"	4		139	990	143	988					2011
"Natural resources, construction, and maintenance"	"Automotive body and related repairers"	1		107	625	107	624					2011
"Natural resources, construction, and maintenance"	"Automotive glass installers and repairers"	0		10		11						2011
"Natural resources, construction, and maintenance"	"Automotive service technicians and mechanics"	8		645	718	653	714					2011
"Natural resources, construction, and maintenance"	"Bus and truck mechanics and diesel engine specialists"	1		286	802	286	801					2011
"Natural resources, construction, and maintenance"	"Heavy vehicle and mobile equipment service technicians and mechanics"	3		179	822	182	822					2011
"Natural resources, construction, and maintenance"	"Small engine mechanics"	1		31		32						2011
"Natural resources, construction, and maintenance"	"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"	2		71	463	73	463					2011
"Natural resources, construction, and maintenance"	"Control and valve installers and repairers"	1		24		25						2011
"Natural resources, construction, and maintenance"	"Heating, air conditioning, and refrigeration mechanics and installers"	1		279	795	281	793					2011
"Natural resources, construction, and maintenance"	"Home appliance repairers"	4		23		27						2011
"Natural resources, construction, and maintenance"	"Industrial and refractory machinery mechanics"	10		415	870	425	868					2011
"Natural resources, construction, and maintenance"	"Maintenance and repair workers, general"	11		347	756	359	758					2011
"Natural resources, construction, and maintenance"	"Maintenance workers, machinery"	3		31		34						2011
"Natural resources, construction, and maintenance"	"Millwrights"	1		56	897	57	892					2011
"Natural resources, construction, and maintenance"	"Electrical power-line installers and repairers"	0		111	1116	111	1116					2011
"Natural resources, construction, and maintenance"	"Telecommunications line installers and repairers"	7		185	926	192	915					2011
"Natural resources, construction, and maintenance"	"Precision instrument and equipment repairers"	10		52	914	62	898					2011
"Natural resources, construction, and maintenance"	"Wind turbine service technicians"	0		2		2						2011
"Natural resources, construction, and maintenance"	"Coin, vending, and amusement machine servicers and repairers"	1		27		29						2011
"Natural resources, construction, and maintenance"	"Commercial divers"	0		1		1						2011
"Natural resources, construction, and maintenance"	"Locksmiths and safe repairers"	1		17		17						2011
"Natural resources, construction, and maintenance"	"Manufactured building and mobile home installers"	0		7		7						2011
"Natural resources, construction, and maintenance"	"Riggers"	3		12		15						2011
"Natural resources, construction, and maintenance"	"Signal and track switch repairers"	0		5		5						2011
"Natural resources, construction, and maintenance"	"Helpers--installation, maintenance, and repair workers"	1		17		18						2011
"Natural resources, construction, and maintenance"	"Other installation, maintenance, and repair workers"	12		137	718	149	671					2011
"Production, transportation, and material moving"	"First-line supervisors of production and operating workers"	124	665	530	929	654	888	"y"	71	264	13728	2011
"Production, transportation, and material moving"	"Aircraft structure, surfaces, rigging, and systems assemblers"	7		13		19						2011
"Production, transportation, and material moving"	"Electrical, electronics, and electromechanical assemblers"	73	449	75	591	148	521	"y"	75	142	7384	2011
"Production, transportation, and material moving"	"Engine and other machine assemblers"	4		25		30						2011
"Production, transportation, and material moving"	"Structural metal fabricators and fitters"	1		31		33						2011
"Production, transportation, and material moving"	"Miscellaneous assemblers and fabricators"	285	479	473	566	758	519	"y"	84	87	4524	2011
"Production, transportation, and material moving"	"Bakers"	63	416	63	471	125	448	"y"	88	55	2860	2011
"Production, transportation, and material moving"	"Butchers and other meat, poultry, and fish processing workers"	66	479	215	515	281	504	"y"	93	36	1872	2011
"Production, transportation, and material moving"	"Food and tobacco roasting, baking, and drying machine operators and tenders"	3		5		7						2011
"Production, transportation, and material moving"	"Food batchmakers"	28		35		63	554					2011
"Production, transportation, and material moving"	"Food cooking machine operators and tenders"	5		12		17						2011
"Production, transportation, and material moving"	"Food processing workers, all other"	25		78	544	104	534					2011
"Production, transportation, and material moving"	"Computer control programmers and operators"	5		65	781	70	770					2011
"Production, transportation, and material moving"	"Extruding and drawing machine setters, operators, and tenders, metal and plastic"	2		9		11						2011
"Production, transportation, and material moving"	"Forging machine setters, operators, and tenders, metal and plastic"	1		4		5						2011
"Production, transportation, and material moving"	"Rolling machine setters, operators, and tenders, metal and plastic"	2		7		9						2011
"Production, transportation, and material moving"	"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"	15		78	608	92	591					2011
"Production, transportation, and material moving"	"Drilling and boring machine tool setters, operators, and tenders, metal and plastic"	1		4		5						2011
"Production, transportation, and material moving"	"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"	3		57	641	60	643					2011
"Production, transportation, and material moving"	"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"	0		15		15						2011
"Production, transportation, and material moving"	"Milling and planing machine setters, operators, and tenders, metal and plastic"	0		3		3						2011
"Production, transportation, and material moving"	"Machinists"	16		377	767	393	755					2011
"Production, transportation, and material moving"	"Metal furnace operators, tenders, pourers, and casters"	1		18		19						2011
"Production, transportation, and material moving"	"Model makers and patternmakers, metal and plastic"	1		3		4						2011
"Production, transportation, and material moving"	"Molders and molding machine setters, operators, and tenders, metal and plastic"	12		35		47						2011
"Production, transportation, and material moving"	"Multiple machine tool setters, operators, and tenders, metal and plastic"	0		3		3						2011
"Production, transportation, and material moving"	"Tool and die makers"	2		59	930	61	920					2011
"Production, transportation, and material moving"	"Welding, soldering, and brazing workers"	36		426	695	461	679					2011
"Production, transportation, and material moving"	"Heat treating equipment setters, operators, and tenders, metal and plastic"	1		4		5						2011
"Production, transportation, and material moving"	"Layout workers, metal and plastic"	1		7		8						2011
"Production, transportation, and material moving"	"Plating and coating machine setters, operators, and tenders, metal and plastic"	2		13		15						2011
"Production, transportation, and material moving"	"Tool grinders, filers, and sharpeners"	0		6		6						2011
"Production, transportation, and material moving"	"Metal workers and plastic workers, all other"	81	517	275	583	356	561	"y"	88	66	3432	2011
"Production, transportation, and material moving"	"Prepress technicians and workers"	16		14		30						2011
"Production, transportation, and material moving"	"Printing press operators"	31		155	646	186	613					2011
"Production, transportation, and material moving"	"Print binding and finishing workers"	6		7		13						2011
"Production, transportation, and material moving"	"Laundry and dry-cleaning workers"	64	386	52	447	115	412	"y"	86	61	3172	2011
"Production, transportation, and material moving"	"Pressers, textile, garment, and related materials"	24		13		37						2011
"Production, transportation, and material moving"	"Sewing machine operators"	84	398	28		112	403					2011
"Production, transportation, and material moving"	"Shoe and leather workers and repairers"	1		7		8						2011
"Production, transportation, and material moving"	"Shoe machine operators and tenders"	1		1		2						2011
"Production, transportation, and material moving"	"Tailors, dressmakers, and sewers"	33		13		46						2011
"Production, transportation, and material moving"	"Textile bleaching and dyeing machine operators and tenders"	0		4		4						2011
"Production, transportation, and material moving"	"Textile cutting machine setters, operators, and tenders"	2		4		6						2011
"Production, transportation, and material moving"	"Textile knitting and weaving machine setters, operators, and tenders"	6		2		8						2011
"Production, transportation, and material moving"	"Textile winding, twisting, and drawing out machine setters, operators, and tenders"	11		8		19						2011
"Production, transportation, and material moving"	"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers"	0		2		2						2011
"Production, transportation, and material moving"	"Fabric and apparel patternmakers"	2		2		5						2011
"Production, transportation, and material moving"	"Upholsterers"	4		30		34						2011
"Production, transportation, and material moving"	"Textile, apparel, and furnishings workers, all other"	5		9		15						2011
"Production, transportation, and material moving"	"Cabinetmakers and bench carpenters"	1		41		42						2011
"Production, transportation, and material moving"	"Furniture finishers"	2		9		11						2011
"Production, transportation, and material moving"	"Model makers and patternmakers, wood"	0		1		1						2011
"Production, transportation, and material moving"	"Sawing machine setters, operators, and tenders, wood"	1		30		31						2011
"Production, transportation, and material moving"	"Woodworking machine setters, operators, and tenders, except sawing"	2		15		17						2011
"Production, transportation, and material moving"	"Woodworkers, all other"	2		8		10						2011
"Production, transportation, and material moving"	"Power plant operators, distributors, and dispatchers"	1		52	1085	53	1091					2011
"Production, transportation, and material moving"	"Stationary engineers and boiler operators"	1		92	851	93	855					2011
"Production, transportation, and material moving"	"Water and wastewater treatment plant and system operators"	5		70	788	75	780					2011
"Production, transportation, and material moving"	"Miscellaneous plant and system operators"	3		34		37						2011
"Production, transportation, and material moving"	"Chemical processing machine setters, operators, and tenders"	14		52	947	66	853					2011
"Production, transportation, and material moving"	"Crushing, grinding, polishing, mixing, and blending workers"	12		82	702	94	659					2011
"Production, transportation, and material moving"	"Cutting workers"	13		55	540	69	518					2011
"Production, transportation, and material moving"	"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"	3		28		31						2011
"Production, transportation, and material moving"	"Furnace, kiln, oven, drier, and kettle operators and tenders"	0		11		11						2011
"Production, transportation, and material moving"	"Inspectors, testers, sorters, samplers, and weighers"	212	541	396	792	608	675	"y"	68	251	13052	2011
"Production, transportation, and material moving"	"Jewelers and precious stone and metal workers"	7		7		14						2011
"Production, transportation, and material moving"	"Medical, dental, and ophthalmic laboratory technicians"	34		34		68	612					2011
"Production, transportation, and material moving"	"Packaging and filling machine operators and tenders"	139	421	120	505	259	455	"y"	83	84	4368	2011
"Production, transportation, and material moving"	"Painting workers"	12		99	608	111	602					2011
"Production, transportation, and material moving"	"Photographic process workers and processing machine operators"	13		10		24						2011
"Production, transportation, and material moving"	"Semiconductor processors"	1		3		4						2011
"Production, transportation, and material moving"	"Adhesive bonding machine operators and tenders"	6		4		10						2011
"Production, transportation, and material moving"	"Cleaning, washing, and metal pickling equipment operators and tenders"	3		9		13						2011
"Production, transportation, and material moving"	"Cooling and freezing equipment operators and tenders"	0		3		3						2011
"Production, transportation, and material moving"	"Etchers and engravers"	2		4		7						2011
"Production, transportation, and material moving"	"Molders, shapers, and casters, except metal and plastic"	6		15		21						2011
"Production, transportation, and material moving"	"Paper goods machine setters, operators, and tenders"	8		23		31						2011
"Production, transportation, and material moving"	"Tire builders"	1		16		17						2011
"Production, transportation, and material moving"	"Helpers--production workers"	6		40		45						2011
"Production, transportation, and material moving"	"Production workers, all other"	151	483	502	612	652	579	"y"	78	129	6708	2011
"Production, transportation, and material moving"	"Supervisors of transportation and material moving workers"	38		170	773	208	761					2011
"Production, transportation, and material moving"	"Aircraft pilots and flight engineers"	4		89	1466	93	1461					2011
"Production, transportation, and material moving"	"Air traffic controllers and airfield operations specialists"	5		35		40						2011
"Production, transportation, and material moving"	"Flight attendants"	38		14		52	791					2011
"Production, transportation, and material moving"	"Ambulance drivers and attendants, except emergency medical technicians"	0		9		9						2011
"Production, transportation, and material moving"	"Bus drivers"	122	579	188	645	310	608	"y"	89	66	3432	2011
"Production, transportation, and material moving"	"Driver/sales workers and truck drivers"	102	511	2337	712	2439	705	"y"	71	201	10452	2011
"Production, transportation, and material moving"	"Taxi drivers and chauffeurs"	29		178	576	207	553					2011
"Production, transportation, and material moving"	"Motor vehicle operators, all other"	1		26		28						2011
"Production, transportation, and material moving"	"Locomotive engineers and operators"	2		42		43						2011
"Production, transportation, and material moving"	"Railroad brake, signal, and switch operators"	0		6		6						2011
"Production, transportation, and material moving"	"Railroad conductors and yardmasters"	3		45		48						2011
"Production, transportation, and material moving"	"Subway, streetcar, and other rail transportation workers"	2		12		14						2011
"Production, transportation, and material moving"	"Sailors and marine oilers"	0		23		23						2011
"Production, transportation, and material moving"	"Ship and boat captains and operators"	0		35		35						2011
"Production, transportation, and material moving"	"Ship engineers"	0		6		6						2011
"Production, transportation, and material moving"	"Bridge and lock tenders"	0		7		7						2011
"Production, transportation, and material moving"	"Parking lot attendants"	5		40		46						2011
"Production, transportation, and material moving"	"Automotive and watercraft service attendants"	2		40		42						2011
"Production, transportation, and material moving"	"Transportation inspectors"	5		28		32						2011
"Production, transportation, and material moving"	"Transportation attendants, except flight attendants"	8		5		13						2011
"Production, transportation, and material moving"	"Other transportation workers"	1		14		15						2011
"Production, transportation, and material moving"	"Conveyor operators and tenders"	3		2		5						2011
"Production, transportation, and material moving"	"Crane and tower operators"	1		62	736	63	739					2011
"Production, transportation, and material moving"	"Dredge, excavating, and loading machine operators"	0		37		37						2011
"Production, transportation, and material moving"	"Hoist and winch operators"	2		3		5						2011
"Production, transportation, and material moving"	"Industrial truck and tractor operators"	35		456	556	491	562					2011
"Production, transportation, and material moving"	"Cleaners of vehicles and equipment"	25		206	458	230	465					2011
"Production, transportation, and material moving"	"Laborers and freight, stock, and material movers, hand"	175	416	1085	520	1260	509	"y"	80	104	5408	2011
"Production, transportation, and material moving"	"Machine feeders and offbearers"	5		27		32						2011
"Production, transportation, and material moving"	"Packers and packagers, hand"	165	397	135	396	300	397	"n"	100	-1	-52	2011
"Production, transportation, and material moving"	"Pumping station operators"	0		26		26						2011
"Production, transportation, and material moving"	"Refuse and recyclable material collectors"	3		56	580	58	541					2011
"Production, transportation, and material moving"	"Mine shuttle car operators"	1		0		1						2011
"Production, transportation, and material moving"	"Tank car, truck, and ship loaders"	0		2		3						2011
"Production, transportation, and material moving"	"Material moving workers, all other"	3		42		45						2011
"Management, professional, and related"	"Chief executives"	265	1730	739	2275	1004	2060	"y"	76	545	28340	2012
"Management, professional, and related"	"General and operations managers"	278	971	705	1436	983	1264	"y"	67	465	24180	2012
"Management, professional, and related"	"Legislators"	3		4		7						2012
"Management, professional, and related"	"Advertising and promotions managers"	29		36		65	1334					2012
"Management, professional, and related"	"Marketing and sales managers"	402	1110	514	1640	916	1396	"y"	67	530	27560	2012
"Management, professional, and related"	"Public relations and fundraising managers"	39		17		56	1237					2012
"Management, professional, and related"	"Administrative services managers"	57	1038	76	1212	133	1103	"y"	85	174	9048	2012
"Management, professional, and related"	"Computer and information systems managers"	145	1527	423	1740	568	1672	"y"	87	213	11076	2012
"Management, professional, and related"	"Financial managers"	616	988	509	1405	1125	1169	"y"	70	417	21684	2012
"Management, professional, and related"	"Compensation and benefits managers"	9		7		16						2012
"Management, professional, and related"	"Human resources managers"	160	1208	56	1447	216	1271	"y"	83	239	12428	2012
"Management, professional, and related"	"Training and development managers"	17		16		33						2012
"Management, professional, and related"	"Industrial production managers"	34		185	1181	219	1183					2012
"Management, professional, and related"	"Purchasing managers"	99	1072	104	1467	204	1319	"y"	73	395	20540	2012
"Management, professional, and related"	"Transportation, storage, and distribution managers"	36		240	938	276	953					2012
"Management, professional, and related"	"Farmers, ranchers, and other agricultural managers"	14		89	699	104	708					2012
"Management, professional, and related"	"Construction managers"	35		425	1233	460	1208					2012
"Management, professional, and related"	"Education administrators"	454	1052	250	1566	704	1255	"y"	67	514	26728	2012
"Management, professional, and related"	"Architectural and engineering managers"	9		101	2116	111	2122					2012
"Management, professional, and related"	"Food service managers"	327	601	351	744	678	689	"y"	80	143	7436	2012
"Management, professional, and related"	"Funeral service managers"	4		5		8						2012
"Management, professional, and related"	"Gaming managers"	6		15		21						2012
"Management, professional, and related"	"Lodging managers"	47		53	1131	100	774					2012
"Management, professional, and related"	"Medical and health services managers"	358	1190	144	1544	502	1280	"y"	77	354	18408	2012
"Management, professional, and related"	"Natural sciences managers"	11		7		18						2012
"Management, professional, and related"	"Postmasters and mail superintendents"	21		14		35						2012
"Management, professional, and related"	"Property, real estate, and community association managers"	200	817	153	1045	353	907	"y"	78	228	11856	2012
"Management, professional, and related"	"Social and community service managers"	184	883	76	1151	260	947	"y"	76	268	13936	2012
"Management, professional, and related"	"Emergency management directors"	2		3		5						2012
"Management, professional, and related"	"Managers, all other"	902	1078	1465	1409	2367	1258	"y"	76	331	17212	2012
"Management, professional, and related"	"Agents and business managers of artists, performers, and athletes"	16		15		31						2012
